time,Compression Type,Page Size,Cluster Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_14:26:04,lz4,262144,31457280,1,False,8.83,0.41,26.931,-0.852,1098921756,1351.325,452357.6,1359.7,1348.5,1358.5,1358.4,1355.5,1351.8,1333.7,1356.6,1353.1,1337.6,445936.0,445532.0,459160.0,446020.0,445820.0,446404.0,497472.0,446212.0,446048.0,444972.0
23-06-15_14:26:58,lz4,524288,20971520,1,True,13.14,0.55,34.483,4.387,1097420857,1431.725,428858.4,1427.5,1427.0,1437.6,1432.2,1424.0,1438.1,1442.6,1438.2,1416.8,1433.3,428344.0,428448.0,428796.0,429116.0,429096.0,429176.0,428704.0,428956.0,428736.0,429212.0
23-06-15_14:27:51,lz4,1048576,20971520,1,False,10.22,0.61,35.862,-5.806,1096766788,1446.401,474578.0,1432.6,1458.3,1447.3,1454.1,1435.5,1461.5,1438.0,1466.0,1415.6,1455.2,498112.0,450136.0,466728.0,450632.0,481044.0,482336.0,515628.0,467072.0,483424.0,450668.0
23-06-15_14:28:43,lz4,524288,20971520,2,False,7.46,0.55,33.422,-11.604,1097420857,1420.430,500586.0,1408.2,1423.8,1428.1,1417.5,1414.1,1420.4,1420.5,1426.8,1430.8,1414.0,497064.0,497356.0,496796.0,514332.0,497240.0,497540.0,497432.0,497212.0,496776.0,514112.0
23-06-15_14:29:36,lz4,1048576,20971520,1,False,9.85,0.61,35.780,-6.824,1096766788,1445.529,479143.2,1445.1,1450.4,1454.1,1441.4,1435.1,1435.2,1459.3,1450.6,1438.2,1445.9,466704.0,480608.0,466892.0,467664.0,498324.0,498340.0,450600.0,481092.0,513336.0,467872.0
23-06-15_14:30:29,lz4,524288,31457280,1,False,10.30,0.51,30.657,-0.277,1097845581,1390.988,449778.4,1307.7,1390.0,1377.4,1387.8,1420.4,1406.2,1391.3,1401.4,1408.5,1419.1,449484.0,450164.0,449744.0,449084.0,450376.0,450012.0,449300.0,449504.0,449828.0,450288.0
23-06-15_14:31:21,lz4,524288,20971520,2,False,7.40,0.55,32.896,-11.238,1097420857,1414.824,498942.4,1427.5,1404.5,1412.1,1400.4,1416.6,1406.2,1423.1,1418.0,1420.8,1419.2,497428.0,496604.0,497464.0,496972.0,497256.0,497272.0,497328.0,497552.0,514248.0,497300.0
23-06-15_14:32:14,lz4,524288,20971520,2,False,7.83,0.55,33.824,-10.888,1097420857,1424.704,497374.4,1415.3,1435.2,1423.9,1426.2,1413.5,1426.0,1425.3,1424.9,1430.6,1426.1,497244.0,497788.0,497500.0,497164.0,497336.0,497060.0,497640.0,497508.0,497296.0,497208.0
23-06-15_14:33:07,lz4,524288,20971520,2,False,7.73,0.55,33.528,-10.878,1097420857,1421.558,497329.2,1428.9,1420.7,1424.9,1410.9,1407.7,1425.2,1424.4,1430.7,1421.9,1420.3,497124.0,497220.0,497136.0,496840.0,497400.0,497656.0,497484.0,497648.0,497120.0,497664.0
23-06-15_14:34:00,lz4,524288,20971520,2,False,7.35,0.55,33.524,-12.032,1097420857,1421.512,502506.8,1422.0,1417.4,1427.2,1401.9,1429.3,1426.7,1427.5,1413.6,1426.2,1423.2,496740.0,497516.0,497468.0,514388.0,497604.0,514832.0,514352.0,497172.0,497616.0,497380.0
