time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_17:47:00,zstd,31457280,524288,1,False,7.39,7.51,16.032,-1.355,1020647730,1218.629,453987.2,1223.5,1216.7,1230.1,1224.7,1209.9,1214.3,1206.4,1212.8,1218.1,1229.7,451488.0,451212.0,451312.0,476248.0,451484.0,451388.0,451652.0,451572.0,451932.0,451584.0
23-06-15_17:47:51,zstd,20971520,262144,1,True,8.83,5.78,15.140,5.561,1039715888,1209.257,423007.2,1209.5,1200.0,1211.2,1219.3,1211.4,1212.7,1208.2,1207.6,1203.1,1209.6,419572.0,436908.0,419580.0,419480.0,419672.0,419380.0,419680.0,419468.0,436988.0,419344.0
23-06-15_17:48:41,zstd,20971520,262144,2,False,3.29,5.78,15.589,-11.509,1039715888,1213.974,499467.6,1218.4,1211.9,1205.9,1219.5,1209.9,1214.4,1201.8,1218.3,1207.0,1232.6,489328.0,506392.0,506356.0,506296.0,506244.0,489500.0,506208.0,506536.0,488976.0,488840.0
23-06-15_17:49:34,zstd,31457280,262144,1,False,5.64,5.56,11.793,-0.421,1042166535,1174.104,449801.6,1173.0,1175.1,1175.8,1171.2,1179.2,1166.7,1172.2,1178.7,1173.1,1176.0,446876.0,447464.0,446920.0,447112.0,447104.0,447580.0,447196.0,447116.0,447100.0,473548.0
23-06-15_17:50:25,zstd,20971520,131072,1,False,5.38,5.20,4.147,6.783,1046117134,1093.805,417536.0,1080.6,1095.9,1101.0,1094.9,1094.7,1094.5,1093.6,1092.0,1096.0,1094.9,417880.0,417868.0,417332.0,417356.0,417328.0,417432.0,417800.0,417332.0,417424.0,417608.0
23-06-15_17:51:17,zstd,31457280,262144,1,False,5.70,5.56,11.426,0.123,1042166535,1170.257,447363.2,1168.2,1168.8,1170.2,1163.6,1174.7,1170.2,1170.6,1175.1,1169.6,1171.6,447372.0,447360.0,447284.0,447560.0,447580.0,447392.0,447172.0,447336.0,447188.0,447388.0
23-06-15_17:52:10,zstd,31457280,262144,1,False,5.50,5.56,12.473,-1.528,1042166535,1181.255,454759.6,1175.3,1172.9,1189.8,1172.6,1184.8,1174.1,1184.1,1188.5,1187.2,1183.3,447104.0,447224.0,472596.0,472504.0,447116.0,447008.0,472164.0,447112.0,447120.0,447648.0
23-06-15_17:53:03,zstd,31457280,262144,1,False,4.85,5.56,11.762,-2.777,1042166535,1173.788,460353.2,1173.0,1167.7,1171.5,1182.6,1170.9,1172.5,1175.1,1173.9,1181.1,1169.7,474128.0,447024.0,447256.0,473672.0,447120.0,447468.0,471896.0,500164.0,447596.0,447208.0
23-06-15_17:53:55,zstd,31457280,262144,1,False,5.74,5.56,11.486,0.170,1042166535,1170.883,447154.8,1176.1,1170.6,1173.1,1172.8,1178.3,1168.4,1167.0,1164.7,1169.7,1168.2,447112.0,447112.0,447200.0,447120.0,447100.0,447312.0,447224.0,447112.0,446872.0,447384.0
23-06-15_17:54:45,zstd,20971520,262144,2,False,2.80,5.78,14.518,-11.899,1039715888,1202.724,501215.6,1212.0,1205.6,1212.5,1202.7,1198.0,1202.8,1197.4,1196.0,1201.4,1198.7,541008.0,488536.0,489388.0,488988.0,489280.0,524000.0,489272.0,506764.0,488436.0,506484.0
23-06-15_17:55:37,zstd,31457280,262144,1,False,5.92,5.56,12.021,0.183,1042166535,1176.498,447097.6,1164.9,1170.6,1173.9,1183.5,1173.0,1179.7,1172.1,1170.4,1187.8,1189.0,447080.0,447296.0,447184.0,447116.0,446832.0,447320.0,446928.0,447200.0,447108.0,446912.0
23-06-15_17:56:29,zstd,31457280,262144,1,False,4.62,5.56,11.720,-3.424,1042166535,1173.342,463250.8,1177.6,1172.0,1177.7,1174.7,1169.4,1170.3,1172.5,1178.6,1166.4,1174.1,447392.0,447184.0,473992.0,447468.0,447688.0,473928.0,473644.0,447200.0,474184.0,499828.0
23-06-15_17:57:20,zstd,20971520,262144,2,False,3.25,5.78,14.714,-10.755,1039715888,1204.784,496087.2,1198.5,1209.1,1201.7,1206.0,1201.5,1210.2,1209.1,1206.5,1202.1,1203.2,489312.0,489308.0,489200.0,489040.0,488980.0,506848.0,523752.0,489256.0,488600.0,506576.0
23-06-15_17:58:12,zstd,31457280,262144,1,False,5.52,5.56,11.431,-0.442,1042166535,1170.311,449893.6,1177.1,1169.4,1161.0,1167.9,1180.2,1159.1,1173.3,1166.2,1177.7,1171.2,447168.0,447456.0,446988.0,447388.0,447320.0,473532.0,447104.0,447096.0,447568.0,447316.0
23-06-15_17:59:02,zstd,20971520,262144,2,False,3.44,5.78,15.673,-11.140,1039715888,1214.861,497814.8,1220.0,1218.9,1221.7,1217.7,1206.3,1208.6,1220.5,1212.1,1214.5,1208.1,506292.0,506972.0,489308.0,489240.0,488984.0,489064.0,488812.0,524264.0,506304.0,488908.0
23-06-15_17:59:41,zstd,20971520,524288,1,True,9.02,7.43,18.087,1.537,1021497693,1240.215,441033.2,1256.8,1245.3,1234.8,1229.8,1241.4,1235.4,1242.4,1235.7,1238.4,1242.1,425592.0,442552.0,425648.0,442840.0,426120.0,442836.0,442552.0,442472.0,442848.0,476872.0
23-06-15_18:00:19,zstd,20971520,524288,2,False,4.86,7.43,17.694,-10.550,1021497693,1236.085,495170.4,1233.9,1237.4,1231.8,1226.3,1235.9,1246.2,1236.5,1245.2,1233.1,1234.7,493620.0,510404.0,493416.0,493088.0,493168.0,493624.0,493808.0,493340.0,493620.0,493616.0
23-06-15_18:01:09,zstd,20971520,262144,1,True,9.24,5.78,15.995,5.955,1039715888,1218.242,421241.2,1224.1,1213.3,1211.4,1206.2,1229.1,1211.6,1227.9,1214.2,1216.2,1228.4,419416.0,419668.0,419644.0,436648.0,419304.0,419668.0,419264.0,419668.0,419464.0,419668.0
23-06-15_18:02:00,zstd,20971520,131072,1,False,5.53,5.20,4.611,6.784,1046117134,1098.683,417531.6,1098.3,1090.3,1097.5,1097.7,1099.0,1103.9,1097.6,1100.0,1099.3,1103.2,417336.0,417396.0,417516.0,417420.0,417604.0,417608.0,417796.0,417528.0,417588.0,417524.0
23-06-15_18:02:38,zstd,20971520,524288,1,True,10.08,7.43,18.990,3.821,1021497693,1249.701,430799.2,1242.4,1250.1,1256.0,1254.0,1262.1,1243.7,1240.0,1232.1,1251.3,1265.3,442564.0,425860.0,426204.0,426124.0,425668.0,442344.0,442584.0,425240.0,425756.0,425648.0
23-06-15_18:03:16,zstd,20971520,524288,2,False,4.29,7.43,16.383,-10.931,1021497693,1222.317,496876.4,1218.1,1222.7,1224.9,1234.0,1223.7,1227.1,1216.6,1225.2,1213.7,1217.1,493160.0,510392.0,510848.0,493308.0,493612.0,493336.0,493412.0,493612.0,493344.0,493740.0
23-06-15_18:03:54,zstd,20971520,524288,2,False,4.19,7.43,16.439,-11.303,1021497693,1222.902,498546.0,1225.3,1219.4,1220.3,1221.1,1221.6,1224.7,1224.9,1221.4,1227.4,1223.0,493144.0,493616.0,493432.0,493180.0,510476.0,493608.0,510268.0,493680.0,493480.0,510576.0
23-06-15_18:04:44,zstd,20971520,262144,1,False,8.70,5.78,15.122,5.185,1039715888,1209.075,424690.8,1218.0,1206.4,1212.6,1204.6,1200.9,1231.1,1201.0,1202.4,1213.4,1200.2,419388.0,436988.0,419588.0,419476.0,419656.0,419592.0,419208.0,419228.0,436852.0,436932.0
23-06-15_18:05:34,zstd,20971520,262144,1,True,9.21,5.78,17.073,4.773,1039715888,1229.566,426539.2,1227.9,1239.1,1238.4,1221.6,1236.2,1226.2,1238.0,1229.3,1209.0,1229.9,437096.0,419572.0,419572.0,436912.0,419388.0,436920.0,419560.0,419668.0,436996.0,419708.0
23-06-15_18:06:12,zstd,20971520,524288,1,False,8.43,7.43,16.719,1.146,1021497693,1225.848,442784.4,1228.8,1228.2,1231.2,1221.5,1222.9,1229.7,1229.6,1216.3,1224.2,1226.2,442840.0,442728.0,426056.0,442560.0,442636.0,425872.0,442640.0,476292.0,443152.0,443068.0
23-06-15_18:07:02,zstd,20971520,262144,2,False,3.97,5.78,16.093,-9.970,1039715888,1219.268,492574.0,1220.3,1228.1,1222.3,1220.0,1229.4,1215.4,1211.7,1227.2,1206.5,1211.8,507040.0,488496.0,489308.0,488820.0,489276.0,489036.0,506784.0,489076.0,489104.0,488800.0
23-06-15_18:07:54,zstd,31457280,262144,1,False,5.67,5.56,11.907,-0.440,1042166535,1175.301,449886.8,1181.0,1186.8,1180.0,1174.7,1171.0,1175.5,1174.2,1170.0,1169.4,1170.4,447484.0,447104.0,447108.0,447116.0,447284.0,447304.0,473932.0,447048.0,447096.0,447392.0
23-06-15_18:08:46,zstd,31457280,262144,1,False,5.76,5.56,13.208,-1.486,1042166535,1188.969,454571.6,1193.4,1193.1,1194.1,1187.9,1187.1,1188.3,1191.1,1174.2,1191.1,1189.4,446728.0,471960.0,447592.0,447068.0,446988.0,447204.0,472072.0,447000.0,447192.0,471912.0
23-06-15_18:09:37,zstd,20971520,262144,2,False,3.43,5.78,14.858,-10.357,1039715888,1206.300,494306.0,1198.9,1202.8,1203.9,1215.8,1206.9,1213.4,1213.7,1203.3,1200.0,1204.1,524132.0,488904.0,489040.0,488872.0,489120.0,489112.0,489400.0,488732.0,506580.0,489168.0
23-06-15_18:10:15,zstd,20971520,524288,1,False,8.57,7.43,17.445,0.822,1021497693,1233.468,444233.6,1227.3,1231.4,1235.8,1253.6,1233.1,1222.2,1220.0,1231.7,1224.7,1254.9,442216.0,476428.0,425836.0,442484.0,425864.0,442856.0,442580.0,425408.0,442616.0,476048.0
23-06-15_18:11:06,zstd,20971520,262144,2,False,2.69,5.78,14.985,-12.694,1039715888,1207.630,504776.0,1201.9,1206.0,1217.1,1208.0,1213.6,1201.1,1204.2,1213.1,1207.4,1203.9,523880.0,488580.0,489576.0,506544.0,489136.0,489116.0,541476.0,541652.0,488628.0,489172.0
23-06-15_18:11:56,zstd,20971520,262144,2,False,3.85,5.78,16.116,-10.357,1039715888,1219.509,494306.8,1222.5,1218.9,1223.5,1214.6,1216.3,1227.4,1207.8,1226.2,1214.1,1223.8,489108.0,506604.0,488820.0,506748.0,506408.0,489336.0,489008.0,489084.0,489052.0,488900.0
23-06-15_18:12:47,zstd,20971520,262144,2,False,2.34,5.78,14.301,-13.068,1039715888,1200.449,506451.2,1201.5,1198.1,1211.4,1205.6,1195.3,1206.3,1194.3,1195.8,1195.5,1200.7,489384.0,524048.0,489232.0,523792.0,506760.0,488624.0,540936.0,506032.0,489120.0,506584.0
23-06-15_18:13:37,zstd,20971520,262144,2,False,3.23,5.78,15.455,-11.552,1039715888,1212.564,499657.2,1208.6,1212.4,1225.7,1219.0,1213.3,1203.8,1203.4,1219.6,1211.5,1208.4,506408.0,488800.0,506896.0,489316.0,489088.0,506684.0,524032.0,489104.0,489216.0,507028.0
23-06-15_18:14:29,zstd,31457280,262144,1,False,5.71,5.56,12.023,-0.435,1042166535,1176.526,449865.6,1183.8,1163.8,1174.3,1182.5,1174.1,1180.4,1172.4,1183.3,1173.2,1177.4,447328.0,447388.0,447304.0,447104.0,447164.0,473736.0,446864.0,447200.0,447460.0,447108.0
23-06-15_18:15:22,zstd,31457280,262144,1,False,4.75,5.56,12.062,-3.380,1042166535,1176.931,463056.0,1165.9,1196.2,1184.5,1172.2,1178.6,1180.7,1173.7,1175.0,1169.6,1173.0,474120.0,473836.0,447004.0,447212.0,447392.0,473656.0,500260.0,472316.0,447456.0,447308.0
23-06-15_18:16:12,zstd,20971520,262144,2,False,3.28,5.78,15.203,-11.136,1039715888,1209.926,497796.0,1210.0,1209.7,1213.8,1227.4,1204.0,1204.5,1207.1,1212.9,1201.8,1207.9,489308.0,488896.0,488980.0,489008.0,506764.0,506560.0,488816.0,489628.0,523528.0,506472.0
23-06-15_18:17:04,zstd,31457280,262144,1,False,5.61,5.56,11.699,-0.441,1042166535,1173.122,449890.4,1184.3,1176.1,1173.7,1177.0,1166.2,1173.0,1166.1,1176.3,1163.3,1175.3,447400.0,447372.0,473192.0,447200.0,447112.0,447300.0,447024.0,447468.0,447188.0,447648.0
23-06-15_18:17:56,zstd,20971520,131072,1,False,5.54,5.20,4.614,6.805,1046117134,1098.707,417433.2,1099.2,1096.9,1098.8,1103.3,1096.1,1096.0,1092.9,1099.9,1106.1,1097.9,417808.0,417408.0,417336.0,417596.0,417348.0,417324.0,417340.0,417144.0,417608.0,417420.0
23-06-15_18:18:46,zstd,20971520,262144,2,False,3.50,5.78,16.233,-11.514,1039715888,1220.739,499490.4,1228.0,1225.4,1217.4,1225.6,1229.2,1215.2,1219.4,1226.3,1222.7,1198.3,523780.0,506788.0,488672.0,489236.0,506336.0,507048.0,489132.0,506356.0,489120.0,488436.0
23-06-15_18:19:25,zstd,20971520,524288,1,False,8.62,7.43,16.872,1.560,1021497693,1227.447,440926.8,1224.6,1229.7,1225.6,1229.0,1222.7,1232.7,1226.6,1232.5,1233.3,1217.7,425568.0,425580.0,442820.0,442900.0,442384.0,425928.0,476332.0,425756.0,425588.0,476412.0
23-06-15_18:20:17,zstd,31457280,262144,1,False,5.97,5.56,12.777,-0.437,1042166535,1184.444,449872.4,1178.2,1178.6,1189.9,1187.1,1182.8,1186.8,1183.3,1185.4,1188.9,1183.4,447280.0,447380.0,446600.0,447136.0,474000.0,447292.0,447120.0,447316.0,447392.0,447208.0
23-06-15_18:21:08,zstd,20971520,131072,1,False,5.52,5.20,4.565,6.799,1046117134,1098.192,417464.0,1097.6,1094.9,1094.9,1104.6,1098.1,1097.7,1091.0,1096.6,1107.8,1098.6,417412.0,417324.0,417332.0,417604.0,417340.0,417388.0,417344.0,417420.0,417872.0,417604.0
23-06-15_18:21:58,zstd,20971520,262144,2,False,3.43,5.78,16.062,-11.553,1039715888,1218.940,499661.6,1218.7,1213.9,1207.6,1219.8,1226.9,1216.1,1218.8,1217.1,1225.5,1225.1,488956.0,506768.0,506460.0,506676.0,489588.0,489316.0,506416.0,489244.0,489116.0,524076.0
23-06-15_18:22:51,zstd,31457280,262144,1,False,5.08,5.56,11.312,-1.617,1042166535,1169.059,455157.2,1166.8,1162.7,1168.7,1167.7,1168.8,1177.5,1173.3,1168.2,1170.0,1166.9,473852.0,447300.0,447348.0,447212.0,447104.0,473628.0,473716.0,447040.0,447364.0,447008.0
23-06-15_18:23:42,zstd,20971520,262144,2,False,3.81,5.78,15.233,-9.594,1039715888,1210.239,490888.8,1210.6,1225.6,1204.3,1214.5,1212.2,1209.4,1221.4,1198.0,1212.6,1193.9,488628.0,489080.0,488748.0,489316.0,489332.0,489300.0,489220.0,489292.0,489368.0,506604.0
23-06-15_18:24:32,zstd,20971520,262144,2,False,3.42,5.78,15.241,-10.751,1039715888,1210.324,496070.0,1206.3,1216.0,1210.1,1204.3,1207.2,1202.4,1214.5,1209.0,1212.9,1220.5,489124.0,506476.0,488880.0,523992.0,506968.0,488852.0,489040.0,489324.0,488916.0,489128.0
23-06-15_18:25:10,zstd,20971520,524288,1,False,8.52,7.43,18.842,-0.718,1021497693,1248.140,451131.2,1259.6,1242.1,1242.5,1259.8,1247.4,1249.4,1242.0,1250.0,1251.0,1237.6,443024.0,442676.0,460136.0,442752.0,442564.0,442684.0,476308.0,442360.0,442372.0,476436.0
23-06-15_18:26:01,zstd,20971520,262144,2,False,3.66,5.78,14.787,-9.580,1039715888,1205.552,490824.4,1204.8,1190.0,1210.8,1203.0,1203.1,1222.6,1203.2,1205.4,1207.5,1205.2,488944.0,488640.0,489148.0,488824.0,489312.0,488844.0,506788.0,489176.0,489244.0,489324.0
23-06-15_18:26:39,zstd,20971520,524288,1,True,9.64,7.43,17.681,3.816,1021497693,1235.951,430825.6,1236.0,1240.7,1244.1,1236.1,1230.4,1225.3,1233.5,1237.7,1236.5,1239.3,425804.0,425656.0,442736.0,425580.0,425360.0,459416.0,426132.0,426028.0,425780.0,425764.0
23-06-15_18:27:17,zstd,31457280,524288,1,False,7.27,7.51,16.259,-1.952,1020647730,1221.009,456660.4,1212.9,1225.3,1218.8,1230.0,1215.8,1218.6,1225.8,1219.8,1229.8,1213.0,451792.0,451228.0,476944.0,451856.0,477328.0,451624.0,451476.0,451588.0,451292.0,451476.0
