time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-16_19:30:14,lz4,52428800,65536,1,False,-999.00,0.00,0.000,0.000,1103485213,1070.713,447559.6,1071.1,1065.2,1074.3,1069.4,1072.8,1067.5,1072.5,1070.7,1071.6,1072.0,447632.0,447712.0,447232.0,447240.0,447708.0,447396.0,447708.0,447492.0,447872.0,447604.0
23-06-16_19:31:06,zstd,52428800,65536,1,True,-2.21,4.85,-7.534,-3.948,1050014750,990.049,465231.2,992.0,991.2,991.9,987.2,991.2,992.1,992.0,980.1,991.1,991.8,465372.0,465184.0,465564.0,465760.0,464708.0,464708.0,464796.0,466204.0,465232.0,464784.0
23-06-16_19:31:57,zstd,104857600,65536,1,False,-9.73,4.85,-6.781,-27.261,1050003336,998.105,569567.2,1005.1,993.0,999.3,1001.6,997.8,997.4,1000.8,993.9,996.9,995.3,569540.0,569548.0,569584.0,569604.0,569496.0,569540.0,569548.0,569536.0,569536.0,569740.0
23-06-16_19:32:50,zstd,52428800,32768,1,False,-6.79,4.46,-21.549,-3.281,1054236628,839.988,462244.8,844.3,835.9,836.8,844.4,837.0,846.4,836.9,835.6,836.3,846.3,462880.0,462100.0,462312.0,462788.0,462104.0,461232.0,462296.0,462212.0,462500.0,462024.0
23-06-16_19:33:41,zstd,52428800,131072,1,True,-0.15,5.03,-1.243,-4.247,1047970652,1057.408,466567.2,1063.8,1061.3,1054.4,1045.4,1061.8,1059.8,1053.9,1059.0,1055.9,1058.9,466436.0,466728.0,466624.0,466692.0,466976.0,466504.0,466300.0,466508.0,466504.0,466400.0
23-06-16_19:34:33,zstd,104857600,131072,1,False,-7.87,5.06,-1.477,-27.201,1047619813,1054.900,569300.4,1060.5,1052.9,1050.2,1053.8,1058.3,1058.2,1058.0,1055.3,1051.8,1050.0,569148.0,568968.0,569056.0,569500.0,569628.0,569152.0,569444.0,569528.0,569156.0,569424.0
23-06-16_19:35:25,zstd,52428800,65536,1,False,-2.15,4.85,-7.372,-3.926,1050014750,991.785,465130.0,990.4,995.7,991.1,986.8,996.1,1000.1,998.3,988.1,984.3,986.9,465100.0,465560.0,464800.0,464992.0,465480.0,465288.0,464516.0,465572.0,464904.0,465088.0
23-06-16_19:36:17,zstd,104857600,131072,1,False,-8.22,5.06,-2.495,-27.215,1047619813,1043.995,569362.4,1047.5,1038.5,1038.2,1043.4,1048.3,1043.1,1044.9,1046.8,1042.9,1046.4,569164.0,569468.0,569440.0,569160.0,569352.0,569348.0,569228.0,569704.0,569596.0,569164.0
23-06-16_19:37:09,zstd,52428800,131072,2,False,-4.14,5.03,-3.030,-14.409,1047970652,1038.271,512048.8,1037.7,1035.8,1037.3,1051.4,1030.5,1042.2,1031.4,1036.9,1040.2,1039.3,512216.0,512216.0,512228.0,512508.0,511352.0,511752.0,511648.0,512424.0,512012.0,512132.0
23-06-16_19:38:01,zstd,104857600,131072,1,False,-7.85,5.06,-1.407,-27.199,1047619813,1055.647,569290.4,1037.3,1046.4,1065.3,1070.2,1060.8,1064.5,1036.4,1066.0,1046.6,1063.0,569160.0,569436.0,569428.0,569436.0,569332.0,569156.0,569412.0,569436.0,569156.0,568952.0
23-06-16_19:38:53,zstd,52428800,131072,2,False,-4.35,5.03,-3.201,-14.875,1047970652,1036.437,514135.6,1032.7,1029.7,1030.3,1038.8,1029.6,1024.6,1034.5,1061.1,1045.7,1037.2,512796.0,512220.0,511944.0,511744.0,511936.0,530372.0,511972.0,512032.0,514400.0,511940.0
23-06-16_19:39:45,zstd,104857600,131072,1,False,-7.81,5.06,-1.269,-27.215,1047619813,1057.126,569361.6,1053.9,1060.2,1062.8,1047.8,1055.5,1059.8,1058.7,1061.3,1057.7,1053.6,569160.0,569124.0,569440.0,569444.0,569440.0,569344.0,569552.0,569340.0,569628.0,569144.0
23-06-16_19:40:37,zstd,41943040,131072,1,True,0.71,5.03,-3.392,0.508,1047994860,1034.394,445284.8,1038.5,1030.1,1032.9,1040.4,1038.4,1029.2,1031.0,1032.0,1040.4,1031.1,445216.0,445504.0,445516.0,445600.0,445316.0,444372.0,445316.0,445220.0,445852.0,444936.0
23-06-16_19:41:28,zstd,41943040,65536,1,True,-0.42,4.84,-6.733,0.637,1050042858,998.622,444706.8,998.7,995.0,997.2,998.6,1002.3,1000.5,999.7,999.4,997.1,997.8,444924.0,445208.0,444932.0,443968.0,443780.0,444364.0,445016.0,444824.0,445220.0,444832.0
23-06-16_19:42:19,zstd,31457280,65536,1,True,-1.37,4.85,-5.855,-3.107,1050007918,1008.023,461465.2,1004.2,1009.3,1014.2,1006.4,1009.3,1005.3,1010.4,1009.2,1000.9,1011.0,470128.0,469268.0,442212.0,469704.0,469284.0,469900.0,442828.0,469416.0,469016.0,442896.0
23-06-16_19:43:10,zstd,41943040,65536,1,True,-0.44,4.84,-6.749,0.600,1050042858,998.451,444872.8,1003.4,997.6,1002.1,998.3,996.4,999.9,1001.8,997.8,1000.4,986.9,444748.0,445124.0,444740.0,445128.0,445132.0,444928.0,445600.0,444360.0,444912.0,444056.0
23-06-16_19:44:01,zstd,41943040,65536,2,False,-3.53,4.84,-7.859,-7.561,1050042858,986.564,481400.8,991.7,988.0,979.1,992.6,983.0,984.2,983.8,992.5,988.7,982.1,481112.0,481792.0,481416.0,481036.0,482100.0,481064.0,481032.0,481028.0,481820.0,481608.0
23-06-16_19:44:53,zstd,41943040,65536,2,True,-3.11,4.84,-6.585,-7.599,1050042858,1000.212,481570.8,999.0,998.6,1002.9,995.9,1000.0,1003.1,1002.3,998.3,1001.2,1000.9,481880.0,481304.0,481692.0,482056.0,481868.0,481880.0,480900.0,481028.0,481680.0,481420.0
23-06-16_19:45:44,zstd,31457280,65536,2,False,-5.59,4.85,-5.991,-15.634,1050007918,1006.569,517530.0,1004.8,1005.7,1004.4,1001.5,1003.3,1003.9,1003.3,1017.4,1005.1,1016.3,523292.0,522564.0,496396.0,523320.0,522720.0,522724.0,522708.0,495912.0,522576.0,523088.0
23-06-16_19:46:36,zstd,41943040,65536,1,True,-0.79,4.84,-7.818,0.609,1050042858,987.010,444833.2,998.6,995.4,983.0,986.9,976.7,980.0,978.5,1002.0,989.3,979.7,444168.0,445200.0,444444.0,445088.0,444744.0,444180.0,444740.0,445076.0,445032.0,445660.0
23-06-16_19:47:27,zstd,31457280,65536,1,False,-1.71,4.85,-5.670,-4.311,1050007918,1010.005,466854.8,998.1,1008.5,1010.2,1008.0,1027.1,1002.4,1025.3,1005.4,1006.1,1009.1,469376.0,469188.0,442688.0,469888.0,469428.0,469576.0,469848.0,469336.0,469668.0,469552.0
