time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-16_18:07:42,lz4,20971520,524288,1,False,12.69,0.55,34.222,3.304,1097420857,1435.411,432776.0,1437.6,1427.8,1430.9,1438.5,1438.4,1434.8,1440.4,1438.4,1432.5,1434.7,429308.0,446096.0,429452.0,429308.0,429588.0,429204.0,429376.0,446472.0,429656.0,429300.0
23-06-16_18:08:31,lz4,20971520,131072,1,False,9.04,0.24,19.795,7.085,1100875547,1281.120,415850.0,1259.8,1275.9,1276.4,1277.3,1280.0,1289.2,1294.1,1276.5,1292.3,1289.5,415980.0,415968.0,415776.0,415812.0,415972.0,415756.0,415676.0,415696.0,415972.0,415892.0
23-06-16_18:09:22,lz4,20971520,262144,2,False,9.49,0.40,35.995,-7.920,1099054779,1454.370,483008.8,1441.6,1448.0,1462.4,1453.0,1472.1,1438.8,1465.9,1427.8,1470.5,1463.5,505796.0,470436.0,470820.0,470720.0,471192.0,505616.0,470720.0,505532.0,470824.0,488432.0
23-06-16_18:10:13,lz4,31457280,262144,1,False,9.21,0.41,28.393,-1.191,1098921756,1373.075,452891.6,1372.7,1382.5,1377.7,1385.1,1372.9,1351.9,1368.7,1362.4,1382.6,1374.4,460008.0,446320.0,471800.0,459960.0,446324.0,446276.0,445924.0,445912.0,446240.0,460152.0
23-06-16_18:11:03,lz4,31457280,262144,1,False,9.44,0.41,28.231,-0.327,1098921756,1371.341,449026.8,1379.7,1375.3,1372.8,1366.2,1366.8,1372.0,1374.7,1364.8,1353.8,1387.4,446232.0,445956.0,446032.0,446284.0,460424.0,446496.0,446020.0,446312.0,446476.0,460036.0
23-06-16_18:11:54,lz4,31457280,262144,1,False,8.03,0.41,26.304,-2.619,1098921756,1350.732,459284.4,1348.7,1378.3,1346.8,1343.8,1352.4,1339.8,1346.5,1358.6,1350.6,1341.9,446004.0,460540.0,446044.0,497924.0,446088.0,445900.0,446232.0,460304.0,446020.0,497788.0
23-06-16_18:12:43,lz4,20971520,131072,1,False,12.11,0.24,28.968,7.113,1100875547,1379.217,415725.2,1388.1,1354.1,1363.4,1387.9,1386.9,1380.7,1379.9,1382.2,1384.6,1384.6,415696.0,415684.0,415972.0,415776.0,415332.0,415688.0,415688.0,415580.0,415960.0,415876.0
23-06-16_18:13:35,lz4,20971520,262144,2,False,9.60,0.40,33.633,-5.248,1099054779,1429.111,471050.8,1437.2,1437.4,1427.6,1421.2,1427.8,1429.9,1423.1,1420.8,1429.3,1436.9,471260.0,470928.0,471260.0,470888.0,471008.0,471272.0,470740.0,471076.0,471004.0,471072.0
23-06-16_18:14:25,lz4,31457280,262144,1,False,10.01,0.41,29.931,-0.316,1098921756,1389.516,448977.2,1396.6,1394.2,1398.0,1395.8,1371.8,1395.5,1397.0,1400.5,1376.7,1369.1,445844.0,446252.0,445708.0,460388.0,445892.0,446348.0,446684.0,460704.0,446020.0,445932.0
23-06-16_18:15:16,lz4,20971520,262144,2,False,7.96,0.40,29.460,-5.972,1099054779,1384.479,474289.6,1394.3,1381.7,1374.6,1369.6,1365.2,1394.7,1390.8,1397.7,1381.1,1395.1,470736.0,470944.0,470732.0,470636.0,470700.0,471004.0,470812.0,471000.0,505332.0,471000.0
23-06-16_18:16:07,lz4,20971520,262144,2,False,10.35,0.40,36.644,-5.987,1099054779,1461.314,474358.0,1489.2,1417.8,1447.6,1472.4,1462.3,1447.2,1473.4,1468.9,1469.7,1464.4,470732.0,470988.0,505344.0,471004.0,470608.0,470820.0,471068.0,471004.0,471008.0,471004.0
23-06-16_18:16:55,lz4,20971520,131072,1,False,10.13,0.24,23.445,6.707,1100875547,1320.157,417545.6,1328.0,1336.2,1337.6,1319.6,1319.5,1317.0,1300.6,1299.0,1338.5,1305.6,415964.0,415744.0,415704.0,433168.0,415956.0,415976.0,415968.0,415496.0,415704.0,415776.0
23-06-16_18:17:46,lz4,31457280,262144,1,False,8.45,0.41,29.882,-4.938,1098921756,1388.992,469660.4,1402.4,1355.9,1395.2,1370.8,1411.8,1388.5,1402.3,1407.3,1363.0,1392.6,460212.0,497840.0,445812.0,498400.0,472276.0,446296.0,460116.0,471876.0,497732.0,446044.0
23-06-16_18:18:34,lz4,20971520,131072,1,False,8.86,0.24,19.246,7.101,1100875547,1275.253,415780.4,1289.1,1273.9,1276.3,1279.9,1270.3,1275.0,1291.4,1281.0,1256.5,1259.1,416236.0,415876.0,415412.0,415304.0,415888.0,415948.0,415788.0,415688.0,415884.0,415780.0
23-06-16_18:19:26,lz4,20971520,524288,1,False,12.50,0.55,34.013,2.940,1097420857,1433.176,434404.0,1441.1,1440.7,1433.8,1430.2,1426.4,1435.6,1431.7,1428.2,1431.7,1432.3,446352.0,429128.0,429392.0,429124.0,429172.0,446548.0,429108.0,446236.0,429588.0,429392.0
