time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-19_17:34:40,lz4,52428800,65536,1,False,-999.00,0.00,0.000,0.000,2306293949,558.129,393486.0,554.3,555.7,545.3,566.5,554.3,573.1,559.7,560.8,557.6,554.1,393920.0,393204.0,393864.0,393072.0,393132.0,393124.0,393664.0,393396.0,393540.0,393944.0
23-06-19_17:36:31,lz4,52428800,65536,1,True,0.06,0.00,0.241,-0.064,2306293949,559.475,393737.6,558.2,558.3,558.7,555.8,556.8,570.8,567.2,559.8,557.8,551.4,393676.0,394240.0,394244.0,393280.0,393288.0,393860.0,392976.0,393948.0,393920.0,393944.0
23-06-19_17:38:23,lz4,104857600,65536,1,True,-0.12,0.00,2.431,-2.810,2306193411,571.699,404542.4,570.4,571.7,573.8,573.4,572.7,573.4,575.1,559.6,570.8,576.1,403856.0,404608.0,404544.0,404720.0,404100.0,405000.0,404420.0,405084.0,404888.0,404204.0
23-06-19_17:40:15,lz4,104857600,65536,2,True,0.73,0.00,10.468,-8.296,2306193411,616.555,426131.2,623.2,611.8,610.2,622.4,615.3,623.2,609.9,615.7,623.4,610.4,426208.0,426396.0,426588.0,426200.0,426120.0,425580.0,425816.0,426028.0,426168.0,426208.0
23-06-19_17:42:06,lz4,52428800,65536,2,True,2.54,0.00,8.931,-1.316,2306293949,607.974,398665.6,611.3,606.3,608.6,606.0,608.9,605.2,607.0,606.8,609.8,609.9,393864.0,398728.0,398932.0,399244.0,399212.0,399616.0,399392.0,399392.0,399232.0,399044.0
23-06-19_17:43:58,lz4,52428800,65536,1,False,1.40,0.00,4.288,-0.073,2306293949,582.060,393775.2,577.0,578.3,580.5,594.5,568.3,578.0,578.8,579.9,596.6,588.8,393252.0,393476.0,393932.0,393848.0,393684.0,393220.0,393864.0,393784.0,394404.0,394288.0
23-06-19_17:45:49,lz4,52428800,65536,3,False,0.28,0.00,6.454,-5.622,2306293949,594.150,415608.8,592.8,595.7,593.9,595.5,595.2,601.2,596.6,582.7,594.4,593.5,415324.0,420316.0,415172.0,414884.0,415064.0,415352.0,415368.0,414432.0,415348.0,414828.0
23-06-19_17:47:40,lz4,52428800,65536,1,True,2.90,0.00,8.715,-0.014,2306293949,606.769,393542.8,592.7,615.1,603.1,599.6,603.9,596.4,610.7,616.7,615.3,614.3,393288.0,393552.0,393092.0,393948.0,393944.0,394208.0,393068.0,393660.0,393480.0,393188.0
23-06-19_17:49:30,lz4,104857600,65536,1,True,1.14,0.00,6.325,-2.900,2306193411,593.429,404897.2,595.6,592.1,592.7,592.7,591.3,593.5,596.4,596.1,593.1,590.8,404688.0,405256.0,405088.0,404696.0,405340.0,404792.0,404464.0,404876.0,404804.0,404968.0
23-06-19_17:51:22,lz4,104857600,65536,2,False,-0.20,0.00,7.713,-8.315,2306193411,601.177,426202.4,599.5,608.2,604.5,602.4,601.1,595.5,608.1,595.6,597.2,599.7,426392.0,426012.0,426216.0,425396.0,426004.0,425864.0,426352.0,426664.0,426468.0,426656.0
23-06-19_17:53:14,lz4,104857600,65536,2,True,1.45,0.00,12.623,-8.288,2306193411,628.581,426099.6,625.6,636.4,627.8,628.5,635.8,626.9,626.5,624.9,627.2,626.2,425624.0,426164.0,426232.0,425832.0,426664.0,426468.0,425840.0,425824.0,426040.0,426308.0
23-06-19_17:55:05,lz4,104857600,65536,3,False,-2.49,0.00,6.298,-13.784,2306193411,593.278,447725.2,587.2,597.5,598.5,597.3,587.2,598.6,587.1,587.7,597.8,594.0,447576.0,447548.0,447704.0,447716.0,447796.0,447808.0,448080.0,447476.0,447816.0,447732.0
23-06-19_17:57:01,lz4,104857600,131072,2,True,12.97,0.85,45.861,-7.807,2286789309,814.093,424204.8,804.7,809.5,825.5,812.1,821.1,812.6,815.2,814.0,812.7,813.5,423908.0,424344.0,424424.0,423932.0,424192.0,424488.0,424308.0,423848.0,423820.0,424784.0
