time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-20_04:43:09,zstd,209715200,8388608,2,False,32.12,31.64,85.620,-20.903,1576546074,1064.877,476085.6,1049.4,1064.6,1064.0,1078.2,1062.0,1063.2,1069.8,1064.9,1069.8,1062.8,475284.0,475124.0,475076.0,479088.0,475564.0,474964.0,475548.0,475256.0,478936.0,476016.0
23-06-20_04:45:05,zstd,314572800,8388608,1,True,40.26,39.52,99.367,-18.111,1394823743,1143.738,465092.4,1148.1,1143.1,1124.4,1149.3,1137.6,1137.3,1147.9,1160.5,1152.5,1136.7,464992.0,464976.0,465404.0,464660.0,465172.0,464924.0,465384.0,465148.0,464808.0,465456.0
23-06-20_04:47:08,zstd,314572800,4194304,1,False,38.48,32.94,97.288,-14.777,1546622500,1131.813,451963.6,1130.7,1137.6,1135.6,1114.4,1138.8,1125.8,1160.2,1129.3,1116.1,1129.7,452028.0,451984.0,451936.0,451724.0,452608.0,451496.0,452160.0,452220.0,451764.0,451716.0
23-06-20_04:49:12,zstd,209715200,8388608,1,False,30.69,31.64,74.750,-14.320,1576546074,1002.516,450164.8,1006.6,972.2,1002.3,985.3,1005.6,1027.5,1010.8,993.1,1020.4,1001.3,450048.0,449760.0,450472.0,449968.0,449684.0,450592.0,450408.0,450324.0,450464.0,449928.0
23-06-20_04:51:10,zstd,314572800,8388608,2,True,40.37,39.52,103.672,-22.079,1394823743,1168.436,480714.8,1169.5,1174.9,1181.4,1181.7,1161.6,1168.0,1137.3,1176.2,1169.3,1164.6,480676.0,480740.0,481132.0,480896.0,480688.0,480712.0,480140.0,480376.0,480856.0,480932.0
23-06-20_04:53:07,zstd,419430400,8388608,2,False,40.10,39.52,102.886,-22.096,1394823743,1163.930,480785.2,1186.6,1167.4,1160.5,1145.4,1166.4,1161.0,1166.2,1158.1,1166.1,1161.7,481132.0,480848.0,480612.0,480856.0,480652.0,480652.0,480764.0,480768.0,480664.0,480904.0
23-06-20_04:55:03,zstd,419430400,8388608,2,True,40.40,39.52,103.763,-22.070,1394823743,1168.959,480680.4,1164.7,1142.2,1167.1,1183.1,1163.1,1175.3,1173.9,1172.5,1176.9,1170.8,481124.0,480576.0,480276.0,481212.0,480684.0,480516.0,480468.0,480436.0,480824.0,480688.0
23-06-20_04:57:00,zstd,314572800,8388608,2,True,40.37,39.52,103.643,-22.061,1394823743,1168.269,480644.8,1164.7,1171.9,1168.6,1166.4,1169.5,1169.1,1177.2,1177.6,1138.7,1178.8,480256.0,479952.0,480464.0,481404.0,480332.0,480392.0,480804.0,480528.0,481320.0,480996.0
23-06-20_04:59:04,zstd,314572800,4194304,2,False,35.40,32.94,97.034,-23.784,1546622500,1130.353,487431.2,1152.8,1110.2,1153.1,1116.0,1140.9,1117.5,1152.9,1139.3,1103.1,1117.8,488600.0,486028.0,488600.0,486516.0,488604.0,486160.0,488344.0,488616.0,486636.0,486208.0
23-06-20_05:01:08,zstd,209715200,8388608,2,False,31.64,31.64,83.916,-20.641,1576546074,1055.099,475052.0,1062.6,1038.4,1053.1,1062.4,1050.9,1072.9,1038.0,1069.8,1055.2,1047.7,475556.0,474764.0,474928.0,475080.0,475308.0,474960.0,473436.0,475376.0,475548.0,475564.0
23-06-20_05:03:13,zstd,209715200,8388608,2,False,31.58,31.64,83.989,-20.905,1576546074,1055.519,476093.2,1060.9,1072.6,1039.9,1046.1,1047.4,1055.5,1059.2,1052.6,1056.6,1064.3,474900.0,478564.0,475216.0,475336.0,479204.0,475216.0,475840.0,475736.0,475632.0,475288.0
23-06-20_05:05:10,zstd,419430400,8388608,2,True,40.78,39.52,104.916,-22.099,1394823743,1175.575,480796.0,1145.3,1166.5,1208.8,1180.4,1196.4,1185.8,1161.8,1188.2,1151.9,1170.6,480944.0,481168.0,480912.0,480884.0,480812.0,480424.0,480592.0,480728.0,480568.0,480928.0
23-06-20_05:07:07,zstd,419430400,8388608,1,False,40.31,39.52,99.569,-18.174,1394823743,1144.899,465338.4,1162.8,1144.8,1159.5,1120.2,1102.0,1186.0,1115.0,1158.9,1147.3,1152.4,465536.0,465636.0,464788.0,465460.0,465012.0,465500.0,465384.0,465372.0,465396.0,465300.0
23-06-20_05:09:04,zstd,314572800,8388608,2,False,40.40,39.52,103.757,-22.088,1394823743,1168.926,480750.0,1135.5,1163.7,1208.4,1152.8,1170.2,1164.6,1172.2,1174.0,1177.7,1170.2,480664.0,480316.0,480712.0,480400.0,480712.0,481172.0,480744.0,480960.0,480872.0,480948.0
23-06-20_05:11:01,zstd,419430400,16777216,2,False,22.30,-7.76,96.757,-22.109,2485259488,1128.767,480832.8,1138.1,1095.2,1144.8,1138.7,1120.4,1102.9,1146.5,1128.0,1138.0,1135.0,480656.0,480596.0,481204.0,481148.0,480876.0,480472.0,480380.0,481120.0,481088.0,480788.0
23-06-20_05:12:58,zstd,314572800,8388608,2,True,40.24,39.52,103.306,-22.093,1394823743,1166.336,480772.4,1169.7,1166.6,1143.5,1166.9,1168.0,1177.9,1164.8,1165.8,1181.7,1158.4,481128.0,480920.0,480320.0,480848.0,480928.0,480416.0,481244.0,480500.0,480660.0,480760.0
