time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-16_21:54:03,lz4,52428800,65536,1,False,-999.00,0.00,0.000,0.000,1091048683,1064.635,493685.6,1059.9,1060.4,1066.1,1068.2,1069.1,1061.4,1066.0,1059.7,1068.7,1067.0,493572.0,493668.0,493504.0,493756.0,494024.0,494216.0,493488.0,493376.0,493496.0,493756.0
23-06-16_21:55:33,lz4,52428800,65536,1,True,0.26,0.00,0.714,0.076,1091048683,1072.239,493312.0,1074.2,1067.3,1077.1,1074.9,1072.3,1075.4,1071.5,1073.5,1071.3,1064.9,493764.0,493012.0,493128.0,493392.0,493716.0,493292.0,493308.0,493112.0,493484.0,492912.0
23-06-16_21:57:05,lz4,52428800,65536,2,False,-1.48,0.00,1.706,-6.151,1091048683,1082.795,524050.8,1080.8,1091.3,1086.9,1080.6,1079.8,1079.9,1082.6,1082.7,1081.3,1082.1,523836.0,523756.0,523740.0,524400.0,524420.0,523908.0,524392.0,523936.0,524372.0,523748.0
23-06-16_21:58:35,lz4,41943040,65536,1,True,4.95,-0.00,5.765,9.076,1091067188,1126.011,448880.4,1124.1,1126.7,1126.0,1130.0,1114.8,1127.4,1128.0,1129.6,1128.8,1124.7,448768.0,448580.0,448844.0,449148.0,449224.0,449036.0,449004.0,448404.0,448960.0,448836.0
23-06-16_22:00:05,lz4,31457280,65536,1,True,5.38,-0.01,4.910,11.242,1091210822,1116.909,438184.0,1124.7,1117.0,1115.1,1117.3,1110.0,1120.8,1114.2,1118.7,1116.3,1115.0,428536.0,427960.0,448112.0,447932.0,428620.0,428332.0,447928.0,447816.0,447796.0,428808.0
23-06-16_22:01:35,lz4,31457280,65536,2,True,3.72,-0.01,5.820,5.364,1091210822,1126.598,467206.4,1126.4,1126.0,1123.4,1128.2,1123.9,1127.5,1127.7,1126.4,1129.9,1126.6,467108.0,467200.0,467484.0,467384.0,467456.0,467116.0,466816.0,467304.0,467096.0,467100.0
23-06-16_22:03:04,lz4,20971520,65536,2,True,4.22,0.01,5.783,6.876,1090943116,1126.199,459737.6,1120.4,1123.8,1145.8,1122.8,1132.8,1121.7,1115.8,1124.2,1121.8,1132.9,459612.0,459808.0,459912.0,459864.0,459996.0,459988.0,459332.0,460004.0,459528.0,459332.0
23-06-16_22:04:33,lz4,20971520,32768,2,False,0.13,-0.88,-6.883,8.157,1100600083,991.355,453414.0,987.3,982.8,992.5,991.2,996.3,991.8,992.1,993.2,994.2,992.2,452900.0,453440.0,453444.0,453640.0,453168.0,453356.0,453424.0,453616.0,453644.0,453508.0
23-06-16_22:06:02,lz4,31457280,65536,2,False,3.53,-0.01,5.238,5.359,1091210822,1120.400,467230.4,1120.6,1120.3,1122.7,1121.7,1112.9,1122.3,1119.2,1123.6,1120.5,1120.2,467588.0,467112.0,467096.0,467312.0,467160.0,467640.0,467104.0,467492.0,466968.0,466832.0
23-06-16_22:07:32,lz4,20971520,65536,3,True,4.01,0.01,6.209,5.815,1090943116,1130.737,464978.0,1118.2,1133.5,1138.0,1115.3,1121.3,1141.5,1139.2,1135.5,1134.6,1130.3,472624.0,459988.0,460052.0,472432.0,460040.0,460132.0,459672.0,472908.0,459588.0,472344.0
23-06-16_22:09:00,lz4,20971520,32768,3,False,-1.43,-0.88,-7.159,3.747,1100600083,988.422,475184.8,984.5,987.5,987.0,993.1,983.5,987.1,988.7,992.6,989.3,990.8,478976.0,478920.0,478812.0,466520.0,478460.0,479372.0,479000.0,466248.0,479204.0,466336.0
23-06-16_22:10:29,lz4,20971520,32768,3,False,-1.38,-0.88,-7.291,4.016,1100600083,987.014,473860.0,985.9,986.2,985.5,987.8,985.6,988.7,987.9,989.7,983.1,989.8,478812.0,466520.0,466632.0,478728.0,466404.0,479204.0,478724.0,478920.0,466248.0,478408.0
23-06-16_22:11:58,lz4,20971520,32768,3,False,-1.47,-0.88,-7.547,4.004,1100600083,984.291,473918.8,978.7,985.9,985.1,987.4,980.5,984.7,985.8,982.2,984.0,988.7,478616.0,466520.0,466708.0,478820.0,478920.0,466712.0,466056.0,478812.0,479112.0,478912.0
23-06-16_22:13:27,lz4,20971520,65536,2,True,4.17,0.01,5.641,6.864,1090943116,1124.692,459799.6,1119.5,1123.3,1124.3,1126.4,1122.9,1120.0,1122.8,1129.1,1133.8,1125.0,459332.0,460100.0,460108.0,459912.0,459528.0,459792.0,459720.0,459980.0,459808.0,459716.0
23-06-16_22:14:58,lz4,31457280,65536,2,True,3.62,-0.01,5.497,5.375,1091210822,1123.157,467148.4,1122.9,1122.0,1126.3,1120.3,1130.2,1123.0,1121.3,1121.9,1124.6,1119.0,467188.0,467264.0,467300.0,467304.0,467572.0,467200.0,467100.0,466724.0,466916.0,466916.0
23-06-16_22:16:26,lz4,31457280,32768,2,False,-1.30,-0.87,-7.164,4.127,1100518752,988.363,473309.2,984.0,988.2,989.1,989.7,989.7,989.3,988.8,988.2,989.4,987.3,473416.0,473108.0,473332.0,473408.0,473028.0,473116.0,473424.0,473416.0,473424.0,473420.0
23-06-16_22:17:56,lz4,41943040,65536,2,False,0.85,-0.00,4.004,-1.438,1091067188,1107.265,500786.8,1103.3,1120.9,1106.3,1102.2,1108.6,1109.3,1102.8,1106.1,1107.8,1105.3,500796.0,500960.0,500604.0,500804.0,500804.0,500592.0,500704.0,500860.0,500604.0,501140.0
23-06-16_22:19:27,lz4,31457280,65536,3,False,0.28,-0.01,1.356,-0.515,1091210822,1079.068,496226.8,1059.9,1098.5,1095.0,1087.8,1068.9,1091.6,1077.5,1068.8,1075.2,1067.5,486844.0,506052.0,506048.0,505496.0,486904.0,505604.0,505236.0,486788.0,486732.0,486564.0
23-06-16_22:20:55,lz4,31457280,32768,2,False,-1.84,-0.87,-9.171,4.521,1100518752,966.992,471366.4,976.4,966.6,968.0,963.4,965.4,967.5,967.8,971.0,968.9,955.0,454004.0,473012.0,473696.0,472760.0,473492.0,472924.0,473764.0,473032.0,473696.0,473284.0
23-06-16_22:22:25,lz4,31457280,65536,1,True,5.43,-0.01,5.068,11.251,1091210822,1118.592,438139.2,1119.6,1123.0,1116.8,1120.7,1119.4,1120.8,1112.6,1123.6,1121.3,1107.9,428608.0,428344.0,448212.0,447544.0,428416.0,447548.0,428340.0,428612.0,447560.0,448208.0
23-06-16_22:23:54,lz4,31457280,32768,1,False,1.10,-0.87,-7.838,12.016,1100518752,981.185,434366.8,977.3,980.9,983.1,981.9,988.4,978.9,980.1,979.4,983.8,978.0,434424.0,434748.0,434532.0,434164.0,434716.0,434356.0,434576.0,434016.0,434268.0,433868.0
23-06-16_22:25:22,lz4,31457280,32768,1,False,1.42,-0.87,-6.887,12.003,1100518752,991.311,434430.0,990.6,989.9,990.6,993.9,992.2,990.9,990.2,990.0,992.3,992.6,434028.0,434412.0,434444.0,433988.0,434920.0,434268.0,434544.0,434544.0,434736.0,434416.0
23-06-16_22:26:52,lz4,31457280,65536,2,True,3.58,-0.01,5.414,5.355,1091210822,1122.276,467247.6,1123.9,1124.3,1122.2,1125.3,1126.0,1119.3,1116.6,1120.5,1122.7,1122.0,467284.0,467100.0,467576.0,467448.0,467116.0,467192.0,467128.0,467104.0,467132.0,467396.0
23-06-16_22:28:23,lz4,31457280,65536,3,False,0.30,-0.01,0.668,0.257,1091210822,1071.742,492417.2,1073.3,1070.3,1058.9,1081.4,1071.3,1053.0,1080.9,1074.8,1069.5,1084.1,486368.0,486924.0,486624.0,505568.0,486372.0,487028.0,505800.0,486724.0,486988.0,505776.0
23-06-16_22:29:52,lz4,20971520,65536,2,True,4.08,0.01,5.355,6.877,1090943116,1121.651,459734.8,1117.6,1125.3,1117.7,1125.5,1125.7,1120.4,1125.0,1116.4,1116.7,1126.2,459452.0,459904.0,459716.0,459412.0,460192.0,459608.0,459920.0,459788.0,459632.0,459724.0
