time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-17_06:21:04,zstd,31457280,2097152,2,False,13.57,20.72,15.676,4.315,865028901,1244.102,472262.0,1244.0,1246.5,1251.7,1234.0,1235.9,1253.6,1246.1,1252.1,1221.2,1255.8,472236.0,473524.0,471768.0,473712.0,473960.0,471512.0,472372.0,471112.0,471216.0,471208.0
23-06-17_06:22:37,zstd,20971520,1048576,2,True,17.41,20.77,19.859,11.599,864455682,1289.088,436314.0,1292.1,1285.1,1292.2,1296.2,1275.8,1286.6,1299.6,1289.1,1288.9,1285.3,434948.0,435424.0,435236.0,435144.0,435040.0,446372.0,435584.0,434864.0,435328.0,435200.0
23-06-17_06:24:09,zstd,20971520,2097152,2,True,17.07,20.77,19.078,11.352,864455682,1280.685,437530.4,1280.7,1290.3,1290.5,1251.0,1284.8,1295.4,1267.6,1285.2,1287.4,1274.0,435600.0,435616.0,435432.0,446428.0,435256.0,434920.0,435336.0,435144.0,435144.0,446428.0
23-06-17_06:25:41,zstd,20971520,2097152,1,True,18.99,20.77,20.074,16.136,864455682,1291.396,413919.6,1283.8,1300.0,1280.2,1298.2,1295.7,1296.7,1293.3,1284.5,1292.3,1289.2,412936.0,423424.0,413352.0,412104.0,413060.0,412824.0,412680.0,412680.0,413076.0,413060.0
23-06-17_06:27:15,zstd,31457280,2097152,1,False,15.57,20.72,17.899,8.084,865028901,1268.002,453662.0,1264.8,1271.1,1259.4,1269.5,1272.2,1268.5,1266.9,1271.4,1270.4,1265.9,454584.0,451712.0,453232.0,454960.0,452716.0,453008.0,455128.0,453396.0,454832.0,453052.0
23-06-17_06:28:48,zstd,31457280,2097152,1,False,15.57,20.72,17.777,8.229,865028901,1266.692,452946.8,1267.4,1280.9,1265.0,1267.1,1270.9,1278.0,1251.2,1276.1,1254.1,1256.3,452920.0,453052.0,453152.0,452472.0,453196.0,453320.0,453512.0,453128.0,452188.0,452528.0
23-06-17_06:30:21,zstd,31457280,2097152,1,False,15.72,20.72,18.270,8.167,865028901,1271.998,453250.8,1283.3,1273.6,1265.5,1281.7,1273.5,1270.0,1275.3,1262.1,1270.4,1264.4,452432.0,452756.0,452096.0,452480.0,454660.0,454048.0,453148.0,453396.0,452664.0,454828.0
23-06-17_06:31:53,zstd,20971520,2097152,2,False,17.35,20.77,20.134,11.133,864455682,1292.046,438611.2,1297.7,1290.2,1298.6,1290.0,1288.2,1294.9,1298.0,1294.9,1290.7,1277.2,435324.0,446168.0,435144.0,435336.0,446108.0,435328.0,446744.0,435040.0,435532.0,435388.0
23-06-17_06:33:26,zstd,31457280,2097152,1,False,15.77,20.72,18.404,8.196,865028901,1273.440,453109.6,1277.4,1257.7,1301.4,1276.3,1272.0,1279.2,1258.8,1275.5,1274.1,1261.9,452472.0,452856.0,454328.0,454412.0,453628.0,452316.0,452568.0,452136.0,452820.0,453560.0
23-06-17_06:34:59,zstd,20971520,1048576,1,False,18.99,20.77,20.359,15.833,864455682,1294.467,415416.4,1295.3,1295.8,1287.7,1308.0,1284.6,1301.4,1302.2,1296.7,1288.4,1284.6,413152.0,412100.0,413256.0,435224.0,413448.0,413256.0,413252.0,413804.0,413908.0,412764.0
