time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-18_01:28:07,lz4,52428800,65536,1,False,-999.00,0.00,0.000,0.000,3464720084,550.654,415868.4,550.2,553.7,549.5,551.5,551.8,550.3,552.1,551.6,546.3,549.5,415648.0,415944.0,415748.0,415748.0,415940.0,415744.0,415940.0,415940.0,415940.0,416092.0
23-06-18_01:34:52,zstd,52428800,65536,1,True,1.95,22.11,-18.181,1.925,2698706595,450.539,407862.8,450.1,449.7,451.8,450.5,450.2,450.1,451.7,450.3,450.4,450.5,408072.0,408156.0,407684.0,407684.0,407876.0,407964.0,407776.0,407772.0,407688.0,407956.0
23-06-18_01:41:37,zstd,52428800,65536,2,True,1.41,22.11,-19.541,1.676,2698706595,443.049,408899.6,441.0,441.8,442.2,443.7,445.3,443.3,442.3,444.9,441.9,444.0,409032.0,408732.0,408464.0,409372.0,408736.0,408840.0,408756.0,408920.0,408644.0,409500.0
23-06-18_01:48:32,zstd,104857600,65536,2,True,2.32,22.19,-20.205,4.971,2695869070,439.396,395196.4,437.4,438.7,440.6,437.8,440.9,440.9,440.1,439.2,440.8,437.7,396260.0,395112.0,394824.0,395008.0,394820.0,395044.0,394904.0,394820.0,394816.0,396356.0
23-06-18_01:55:43,zstd,104857600,131072,2,True,12.31,22.86,7.762,6.298,2672595014,593.395,389675.6,590.9,593.8,600.3,588.4,596.8,598.1,590.9,594.1,589.2,591.6,389632.0,389636.0,389064.0,389212.0,389640.0,389844.0,389724.0,389728.0,389904.0,390372.0
23-06-18_02:03:05,zstd,104857600,262144,2,True,22.52,24.81,35.519,7.240,2605084353,746.243,385758.8,754.7,744.4,740.2,747.2,747.8,741.6,739.0,744.1,751.6,751.9,385800.0,385688.0,385608.0,385600.0,385600.0,385608.0,385856.0,385948.0,386076.0,385804.0
23-06-18_02:10:16,zstd,104857600,131072,2,False,12.61,22.86,8.611,6.357,2672595014,598.070,389429.6,600.6,595.4,595.7,601.2,599.3,600.3,594.9,594.6,598.5,600.2,388876.0,389152.0,389068.0,389728.0,389596.0,389824.0,389728.0,389056.0,389828.0,389440.0
23-06-18_02:17:51,zstd,209715200,262144,2,True,22.58,24.91,34.818,8.008,2601704105,742.378,382566.0,742.2,744.5,737.7,746.5,756.4,743.8,741.2,740.0,735.9,735.6,382528.0,382556.0,382936.0,382624.0,382336.0,382484.0,382528.0,382336.0,382528.0,382804.0
23-06-18_02:25:25,zstd,314572800,262144,2,True,23.82,24.95,38.680,7.830,2600411115,763.647,383305.6,760.6,761.0,758.1,765.0,757.0,764.0,774.9,767.4,766.4,762.0,383104.0,383532.0,383108.0,383200.0,383112.0,383300.0,383652.0,383372.0,383568.0,383108.0
23-06-18_02:32:58,zstd,209715200,262144,2,True,22.23,24.91,33.794,7.981,2601704105,736.739,382680.0,735.2,734.5,742.2,732.1,741.0,735.8,737.8,736.8,738.5,733.5,382816.0,383056.0,382732.0,382808.0,382620.0,382612.0,382740.0,382340.0,382536.0,382540.0
