time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_19:36:42,lz4,52428800,65536,1,True,0.00,0.00,0.000,0.000,1091048683,1090.374,493636.0,1084.9,1089.2,1092.9,1095.5,1093.9,1087.0,1090.0,1085.6,1091.0,1093.8,493880.0,493308.0,493472.0,493496.0,493500.0,493760.0,493524.0,493944.0,493688.0,493788.0
23-06-15_19:38:10,lz4,52428800,32768,1,False,-5.39,-0.86,-10.320,-4.975,1100457952,977.845,518195.2,972.9,977.4,970.3,984.3,972.7,979.2,984.2,977.8,982.2,977.4,499892.0,530400.0,500076.0,530132.0,499372.0,500048.0,530328.0,530596.0,530596.0,530512.0
23-06-15_19:39:40,lz4,104857600,65536,1,True,-0.01,-0.00,1.144,-1.181,1091061722,1102.844,499466.8,1108.4,1096.0,1098.3,1097.0,1109.7,1107.9,1097.2,1103.2,1105.7,1104.9,498936.0,499260.0,499188.0,499560.0,499552.0,499836.0,499644.0,500088.0,499152.0,499452.0
23-06-15_19:41:13,lz4,104857600,131072,1,True,3.22,0.53,3.861,5.266,1085251311,1132.476,467641.6,1123.6,1137.6,1136.9,1132.7,1130.0,1119.6,1140.0,1133.0,1140.0,1131.4,467732.0,467612.0,467536.0,467672.0,467916.0,467920.0,467252.0,467640.0,466968.0,468168.0
23-06-15_19:42:45,lz4,52428800,131072,1,True,3.63,0.53,3.924,6.424,1085247057,1133.160,461925.6,1140.3,1127.2,1143.8,1127.4,1122.8,1125.0,1142.1,1131.6,1130.9,1140.7,461732.0,461744.0,461652.0,462128.0,462044.0,461660.0,462320.0,461720.0,461940.0,462316.0
23-06-15_19:44:18,lz4,104857600,131072,1,True,3.38,0.53,4.364,5.239,1085251311,1137.960,467776.0,1140.9,1139.0,1141.6,1124.4,1140.5,1140.4,1144.0,1132.0,1142.9,1133.7,467592.0,467504.0,468004.0,467972.0,467596.0,467640.0,467876.0,467592.0,467992.0,467992.0
23-06-15_19:45:53,lz4,104857600,131072,2,False,-4.18,0.53,4.954,-18.033,1085251311,1144.393,582651.6,1140.9,1142.0,1149.2,1141.8,1147.5,1141.3,1146.3,1145.6,1144.0,1145.5,588500.0,588420.0,558372.0,588888.0,588560.0,588668.0,558280.0,588608.0,589080.0,589140.0
23-06-15_19:47:29,lz4,104857600,262144,1,False,2.55,0.88,12.599,-5.838,1081421967,1227.751,522452.4,1224.5,1237.9,1220.5,1234.9,1224.9,1231.0,1214.8,1228.6,1223.9,1236.4,528316.0,528212.0,498348.0,528460.0,528408.0,528340.0,529068.0,498492.0,528388.0,528492.0
23-06-15_19:49:03,lz4,209715200,131072,1,True,4.52,0.53,5.368,7.667,1085257586,1148.908,455790.8,1146.9,1150.3,1150.2,1149.8,1148.5,1144.3,1149.0,1150.3,1149.3,1150.5,455564.0,456172.0,455576.0,455668.0,456252.0,455580.0,456108.0,455852.0,455468.0,455668.0
23-06-15_19:50:36,lz4,209715200,131072,2,False,0.21,0.53,4.735,-4.624,1085257586,1142.001,516462.4,1145.3,1135.8,1138.5,1143.5,1138.5,1142.4,1145.3,1142.8,1144.4,1143.6,516584.0,516272.0,516464.0,516748.0,516936.0,516000.0,516256.0,516268.0,516660.0,516436.0
23-06-15_19:52:06,lz4,209715200,65536,1,False,3.57,-0.00,3.401,7.323,1091065878,1127.457,457487.6,1130.1,1129.8,1125.7,1121.5,1125.3,1131.2,1128.7,1126.5,1125.1,1130.7,457288.0,457508.0,457612.0,457600.0,457696.0,457424.0,457320.0,457308.0,457232.0,457888.0
23-06-15_19:53:40,lz4,209715200,131072,2,False,0.13,0.53,4.494,-4.636,1085257586,1139.373,516521.2,1140.9,1139.7,1141.6,1140.4,1139.4,1140.2,1137.6,1128.7,1142.1,1143.1,516548.0,516264.0,516464.0,517184.0,516708.0,516396.0,516452.0,516456.0,516272.0,516468.0
23-06-15_19:55:11,lz4,209715200,65536,1,False,3.51,-0.00,3.185,7.351,1091065878,1125.099,457349.2,1135.4,1123.1,1130.1,1123.1,1123.4,1117.1,1123.4,1132.5,1116.5,1126.4,457704.0,457504.0,457696.0,457080.0,457412.0,457024.0,457280.0,457416.0,457448.0,456928.0
23-06-15_19:56:44,lz4,209715200,131072,2,False,0.28,0.53,4.917,-4.616,1085257586,1143.992,516420.0,1124.1,1124.9,1150.0,1142.9,1150.7,1156.0,1148.1,1147.6,1143.3,1152.4,516012.0,515788.0,516416.0,516740.0,516468.0,516740.0,516520.0,516464.0,516552.0,516500.0
23-06-15_19:58:17,lz4,314572800,131072,1,False,3.37,0.53,1.953,7.640,1085261683,1111.666,455921.2,1132.6,1101.4,1116.3,1085.0,1109.5,1107.3,1115.8,1120.4,1108.4,1119.8,456152.0,455768.0,455772.0,456156.0,455864.0,455976.0,455380.0,455960.0,456160.0,456024.0
23-06-15_19:59:50,lz4,209715200,131072,2,False,0.00,0.53,4.104,-4.621,1085257586,1135.124,516445.6,1128.4,1137.1,1138.6,1132.5,1136.3,1143.5,1137.5,1127.4,1134.6,1135.3,516460.0,516464.0,516716.0,516896.0,516128.0,516552.0,516268.0,515968.0,516732.0,516272.0
23-06-15_20:01:25,lz4,314572800,131072,1,True,3.69,0.53,2.923,7.614,1085261683,1122.241,456049.6,1117.3,1116.1,1110.4,1117.8,1123.8,1118.4,1124.7,1130.4,1146.1,1117.5,455760.0,455680.0,456228.0,455732.0,456216.0,456156.0,456360.0,456152.0,456340.0,455872.0
23-06-15_20:03:00,lz4,314572800,131072,2,False,-2.04,0.53,4.028,-10.665,1085261683,1134.290,546283.6,1134.3,1129.4,1133.5,1131.4,1131.8,1134.7,1138.1,1134.6,1142.7,1132.5,546388.0,546104.0,546364.0,545720.0,546244.0,546104.0,546364.0,546748.0,546168.0,546632.0
23-06-15_20:04:33,lz4,419430400,131072,1,True,3.73,0.53,3.044,7.603,1085261683,1123.561,456103.2,1120.6,1119.8,1096.6,1122.7,1126.8,1125.2,1127.8,1121.4,1145.9,1129.0,456332.0,455772.0,456324.0,455876.0,456124.0,456316.0,456340.0,455676.0,456208.0,456064.0
23-06-15_20:06:06,lz4,314572800,131072,1,True,3.56,0.53,2.550,7.603,1085261683,1118.179,456103.2,1111.1,1117.0,1122.9,1122.5,1118.1,1115.6,1125.4,1114.8,1114.8,1119.7,456064.0,456348.0,456208.0,456156.0,456068.0,455932.0,456336.0,455780.0,456220.0,455920.0
23-06-15_20:07:35,lz4,314572800,65536,1,False,3.10,-0.00,1.996,7.296,1091061946,1112.134,457619.2,1110.0,1111.4,1112.7,1109.0,1110.5,1112.6,1107.2,1116.0,1108.9,1123.0,457864.0,457516.0,457820.0,457460.0,457828.0,457196.0,457908.0,457440.0,457528.0,457632.0
23-06-15_20:09:09,lz4,314572800,131072,2,False,-2.12,0.53,3.779,-10.658,1085261683,1131.582,546248.8,1131.0,1138.0,1130.5,1134.9,1123.1,1129.4,1131.9,1133.2,1132.1,1131.7,546460.0,545692.0,546568.0,546204.0,546080.0,546364.0,546360.0,546296.0,546356.0,546108.0
23-06-15_20:10:44,lz4,209715200,131072,1,True,4.39,0.53,5.031,7.618,1085257586,1145.226,456032.0,1139.3,1149.5,1144.4,1148.4,1146.3,1148.1,1142.1,1145.4,1144.5,1144.3,455852.0,456184.0,456496.0,456292.0,456104.0,455952.0,455888.0,455924.0,455768.0,455860.0
23-06-15_20:12:17,lz4,209715200,131072,2,False,-0.12,0.53,3.726,-4.618,1085257586,1131.004,516432.4,1132.3,1130.5,1132.1,1129.6,1141.9,1131.6,1114.8,1128.7,1133.4,1135.2,516660.0,516460.0,516256.0,516108.0,516544.0,516660.0,516668.0,516276.0,516212.0,516480.0
23-06-15_20:13:49,lz4,209715200,65536,1,False,3.42,-0.00,2.900,7.348,1091065878,1121.997,457361.6,1128.1,1122.9,1119.3,1119.2,1125.4,1116.7,1117.2,1126.7,1122.1,1122.3,457036.0,457684.0,457692.0,456920.0,457120.0,457032.0,458148.0,457116.0,457560.0,457308.0
23-06-15_20:15:22,lz4,209715200,131072,2,False,0.02,0.53,4.227,-4.689,1085257586,1136.469,516780.8,1132.5,1137.7,1135.6,1135.8,1143.2,1139.5,1126.2,1136.5,1139.3,1138.4,516740.0,516800.0,516800.0,516164.0,516932.0,516508.0,516804.0,517192.0,516936.0,516932.0
23-06-15_20:16:55,lz4,314572800,131072,1,False,3.43,0.53,2.147,7.605,1085261683,1113.788,456095.2,1109.5,1123.0,1122.7,1115.6,1071.4,1108.8,1121.6,1122.2,1122.7,1120.4,456608.0,456124.0,455824.0,456416.0,455412.0,455980.0,456144.0,455964.0,455872.0,456608.0
23-06-15_20:18:28,lz4,104857600,131072,1,False,3.35,0.53,4.265,5.252,1085251311,1136.878,467710.8,1139.2,1128.4,1135.5,1133.8,1137.7,1131.2,1147.1,1139.3,1136.2,1140.5,467416.0,467864.0,467344.0,467576.0,467604.0,467924.0,467868.0,467812.0,467992.0,467708.0
23-06-15_20:19:59,lz4,209715200,65536,1,True,3.48,-0.00,3.082,7.356,1091065878,1123.981,457323.6,1123.0,1120.0,1127.0,1122.0,1122.7,1128.6,1120.9,1124.5,1123.8,1127.2,457492.0,457120.0,457296.0,457680.0,457032.0,457112.0,457388.0,457220.0,457384.0,457512.0
23-06-15_20:21:32,lz4,209715200,131072,1,True,4.39,0.53,5.010,7.631,1085257586,1145.006,455966.8,1148.2,1145.8,1146.0,1144.9,1143.4,1149.4,1146.4,1147.2,1136.6,1142.1,455668.0,455812.0,455960.0,455776.0,456248.0,456236.0,455912.0,456044.0,456240.0,455772.0
23-06-15_20:23:06,lz4,209715200,131072,2,False,0.09,0.53,4.392,-4.647,1085257586,1138.266,516576.0,1139.5,1137.5,1139.1,1130.3,1140.4,1140.6,1139.2,1138.8,1138.4,1138.9,516540.0,516744.0,516744.0,516344.0,516648.0,516548.0,516468.0,516432.0,516644.0,516648.0
23-06-15_20:24:38,lz4,209715200,131072,2,False,-0.00,0.53,4.099,-4.634,1085257586,1135.064,516512.0,1138.4,1129.9,1131.7,1139.7,1128.4,1136.3,1134.1,1136.6,1134.8,1140.8,516884.0,516740.0,516516.0,516008.0,516252.0,516076.0,516520.0,516744.0,516732.0,516648.0
23-06-15_20:26:12,lz4,314572800,131072,1,False,3.61,0.53,2.678,7.621,1085261683,1119.569,456016.4,1119.3,1120.1,1121.2,1118.9,1115.8,1120.0,1117.4,1128.2,1115.0,1119.7,455488.0,456156.0,456708.0,456036.0,455868.0,455772.0,455808.0,456088.0,455888.0,456352.0
